Temperature,Humidity,Light,CO2,PIR,Microphone,noise_mean,noise_min,co2_mean,co2_delta,co2_delta_mean,co2_variance,light_mean,light_variance,light_std,light_delta,temp_mean,humidity_mean,temp_delta,pir_sum,pir_max,pir_rolling_mean,hour
21.1,45.6,103,400,0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,99.2,12.700000000000014,3.563705936241094,5.0,21.1,45.660000000000004,0.0,0.0,0.0,0.0,0
21.3,44.9,102,400,0,0.014426864,0.014647399600000003,0.012886133,400.0,0.0,0.0,0.0,102.2,25.69999999999937,5.069516742254568,7.0,21.18,44.94,0.1999999999999993,1.0,1.0,0.2,12
21.7,45.5,104,400,0,0.0314,0.0301404,0.0215,400.0,0.0,0.0,0.0,102.2,1.6999999999995472,1.303840481040356,3.0,21.64,45.5,0.0,0.0,0.0,0.0,14
21.3,44.6,106,400,1,0.014041227,0.016027701800000002,0.014041227,400.0,0.0,0.0,0.0,110.0,13.499999999999535,3.6742346141747038,-4.0,21.5,44.9,0.0,3.0,1.0,0.6,12
21.3,45.9,100,400,0,0.0022631367,0.0030061175,0.0020182144,400.0,0.0,0.0,0.0,101.0,9.999999999999545,3.1622776601683076,-2.0,21.3,45.9,0.0,1.0,1.0,0.2,1
21.1,45.7,810,400,0,0.0016283146,0.0016788155,0.0010349483,400.0,0.0,0.0,0.0,810.8,0.1999999999992781,0.4472135954991508,-1.0,21.1,45.760000000000005,0.0,0.0,0.0,0.0,0
21.1,45.3,100,400,1,0.017879583,0.019835702000000004,0.013364047,400.0,0.0,0.0,0.0,101.0,6.499999999999418,2.549509756796278,-1.0,21.04,45.14,0.0,3.0,1.0,0.6,12
21.3,45.5,102,400,0,0.007746899,0.011108363460000001,0.002889022,400.0,0.0,0.0,0.0,101.8,9.199999999999566,3.0331501776205485,-4.0,21.3,45.58,0.0,0.0,0.0,0.0,1
21.1,45.0,101,400,1,0.015148561,0.0162637558,0.015083809,400.0,0.0,0.0,0.0,102.8,20.699999999999502,4.549725266430875,-3.0,21.1,45.019999999999996,-0.09999999999999787,2.0,1.0,0.4,12
21.0,45.9,811,400,0,0.001117016,0.0010399259399999999,0.0009129851,400.0,0.0,0.0,0.0,524.2,151747.7,389.5480714879744,-2.0,21.0,45.9,0.0,1.0,1.0,0.2,0
21.0,45.2,105,400,1,0.013523608,0.018800051,0.013523608,400.0,0.0,0.0,0.0,102.2,9.699999999999381,3.1144823004793882,8.0,21.08,44.9,0.0,4.0,1.0,0.8,12
21.3,45.4,102,400,0,0.0046270397,0.003043380240000002,0.0017273324,400.0,0.0,0.0,0.0,100.6,9.299999999999585,3.049590136395313,5.0,21.3,45.379999999999995,0.0,0.0,0.0,0.0,1
21.0,45.9,802,400,0,0.000972171,0.0011947731199999998,0.000972171,400.0,0.0,0.0,0.0,238.2,99339.7,315.1820109079831,707.0,21.0,45.9,0.0,2.0,1.0,0.4,0
21.6,45.1,109,400,0,0.015406149,0.015636337800000004,0.014133043,400.0,0.0,0.0,0.0,112.4,7.299999999999526,2.7018512172211717,-2.0,21.58,44.96,-0.09999999999999787,3.0,1.0,0.6,12
21.3,45.3,105,400,0,0.014866361,0.005884142220000002,0.0022243923,400.0,0.0,0.0,0.0,102.4,8.299999999999603,2.880972058177518,3.0,21.3,45.32,0.0,0.0,0.0,0.0,1
21.4,45.3,96,400,0,0.0004190054,0.0003056549919999999,0.0001829564,400.0,0.0,0.0,0.0,99.2,9.699999999999662,3.114482300479433,-4.0,21.4,45.279999999999994,0.0,2.0,1.0,0.4,1
21.2,44.9,102,400,0,0.020148173,0.0188405504,0.017938951,400.0,0.0,0.0,0.0,99.6,5.299999999999482,2.302172886644155,0.0,21.1,45.18,0.0,0.0,0.0,0.0,12
21.1,45.6,98,400,0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,98.0,8.499999999999956,2.915475947422643,2.0,21.1,45.6,0.0,1.0,1.0,0.2,0
