timestamp,room,bssid,ssid,rssi
1765111881,G029,c4:16:c8:11:bf:b2,eduroam,38
1765111881,G029,c4:16:c8:12:5b:c2,eduroam,60
1765111881,G029,c4:16:c8:12:51:f2,eduroam,67
1765111881,G029,d8:0a:60:cd:03:32,eduroam,31
1765111881,G029,c4:16:c8:12:47:72,eduroam,40
1765111881,G029,c4:16:c8:12:51:e2,eduroam,43
1765111881,G029,c4:16:c8:12:08:82,eduroam,24
1765111881,G029,c4:16:c8:12:47:71,SUGuest,46
1765111881,G029,c4:16:c8:11:f8:21,SUGuest,38
1765111881,G029,d8:0a:60:cd:02:d1,SUGuest,29
1765111881,G029,c4:16:c8:12:28:a1,SUGuest,26
1765111881,G029,c4:16:c8:11:d4:a1,SUGuest,81
1765111881,G029,c4:16:c8:11:e2:71,SUGuest,62
1765111881,G029,c4:16:c8:11:c1:71,SUGuest,33
1765111881,G029,c4:16:c8:11:e2:61,SUGuest,26
1765111881,G029,c4:16:c8:12:5b:d1,SUGuest,22
1765111881,G029,c4:16:c8:12:47:61,SUGuest,20
1765111881,G029,c4:16:c8:12:62:b1,SUGuest,14
1765111881,G029,c4:16:c8:11:c0:b1,SUGuest,14
1765111881,G029,c4:16:c8:11:35:a1,SUGuest,26
1765111881,G029,d8:0a:60:cd:02:e1,SUGuest,35
1765111881,G029,c4:16:c8:12:58:81,SUGuest,33
1765111881,G029,c4:16:c8:12:51:f1,SUGuest,67
1765111881,G029,c4:16:c8:12:51:e1,SUGuest,46
1765111881,G029,c4:16:c8:12:08:81,SUGuest,53
1765111882,G029,c4:16:c8:12:62:b0,SABANCIUNIV,13
1765111882,G029,c4:16:c8:11:bf:b0,SABANCIUNIV,35
1765111882,G029,c4:16:c8:12:58:80,SABANCIUNIV,33
1765111882,G029,c4:16:c8:12:28:a0,SABANCIUNIV,33
1765111882,G029,c4:16:c8:11:f8:20,SABANCIUNIV,65
1765111882,G029,d8:0a:60:cd:02:d0,SABANCIUNIV,43
1765111882,G029,d8:0a:60:cd:03:50,SABANCIUNIV,22
1765111882,G029,d8:0a:60:cd:02:f0,SABANCIUNIV,22
1765111882,G029,c4:16:c8:12:08:80,SABANCIUNIV,43
1765111882,G029,c4:16:c8:12:08:90,SABANCIUNIV,62
1765111882,G029,c4:16:c8:11:e1:c0,SABANCIUNIV,22
1765111882,G029,c4:16:c8:11:c1:70,SABANCIUNIV,22
1765111882,G029,c4:16:c8:11:e2:60,SABANCIUNIV,35
1765111882,G029,c4:16:c8:11:ce:90,SABANCIUNIV,22
1765111882,G029,c4:16:c8:11:f3:40,SABANCIUNIV,26
1765111882,G029,c4:16:c8:11:f3:50,SABANCIUNIV,22
