"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.485860470E-1,-5.496313572E0,-7.393822074E-1,7.058826923E0,8.976813826E0
3.509909950E-1,-5.668596745E0,-7.274180651E-1,7.149754047E0,9.153202119E0
3.533959430E-1,-5.874379635E0,-7.298108935E-1,7.094718933E0,9.239913245E0
3.558008390E-1,-6.077769279E0,-7.609176040E-1,6.951149940E0,9.264813032E0
3.582057870E-1,-6.271588326E0,-8.087740541E-1,6.857829571E0,9.328277548E0
3.606107350E-1,-6.410371780E0,-8.877372146E-1,6.776473522E0,9.370247442E0
3.630156830E-1,-6.565905571E0,-1.012163997E0,6.664011002E0,9.409815862E0
3.654205780E-1,-6.699903488E0,-1.124626637E0,6.549155712E0,9.436362242E0
3.678255260E-1,-6.800402164E0,-1.258624673E0,6.472585201E0,9.472273479E0
3.702304740E-1,-6.874579430E0,-1.392622828E0,6.393621922E0,9.490924189E0
3.726354220E-1,-6.946363926E0,-1.507478237E0,6.333801746E0,9.520583332E0
3.750403180E-1,-7.027719975E0,-1.605584025E0,6.285944939E0,9.564510017E0
3.774452660E-1,-7.097112179E0,-1.722832322E0,6.276373863E0,9.629642847E0
3.798502140E-1,-7.180860519E0,-1.813759565E0,6.278766632E0,9.709654576E0
3.822551620E-1,-7.223931789E0,-1.897508383E0,6.314659119E0,9.780626173E0
3.846600580E-1,-7.262216568E0,-1.966900229E0,6.352943897E0,9.847252518E0
3.870650060E-1,-7.252645493E0,-2.036292076E0,6.424728870E0,9.900731949E0
3.894699530E-1,-7.223931789E0,-2.103291035E0,6.506084919E0,9.946766542E0
3.918748490E-1,-7.164111137E0,-2.160718918E0,6.668796539E0,1.002327501E1
3.942797970E-1,-7.063612461E0,-2.242074728E0,6.853044033E0,1.009384627E1
3.966847450E-1,-6.991827965E0,-2.309073925E0,7.042077065E0,1.018863730E1
3.990896930E-1,-6.927221775E0,-2.395215511E0,7.243073940E0,1.030463871E1
4.014945890E-1,-6.905686378E0,-2.452643156E0,7.444071293E0,1.044596382E1
4.038995370E-1,-6.891329288E0,-2.495713949E0,7.590033531E0,1.055119029E1
4.063044850E-1,-6.821937561E0,-2.543570518E0,7.771887779E0,1.064945176E1
4.087094330E-1,-6.802794933E0,-2.608176708E0,8.008777618E0,1.082687044E1
4.111143280E-1,-6.788437843E0,-2.634497643E0,8.202595711E0,1.096841112E1
4.135192760E-1,-6.762116909E0,-2.658426046E0,8.362915039E0,1.107843861E1
4.159242240E-1,-6.781259537E0,-2.679961443E0,8.513663292E0,1.120937719E1
4.183291720E-1,-6.819544315E0,-2.682354212E0,8.673981667E0,1.135513834E1
4.207340680E-1,-6.884150982E0,-2.715853691E0,8.796015739E0,1.149509847E1
4.231390160E-1,-6.936792850E0,-2.715853691E0,8.898907661E0,1.160540882E1
4.255439640E-1,-7.006184578E0,-2.732603550E0,8.999405861E0,1.172787493E1
4.279489120E-1,-7.085147858E0,-2.720639229E0,9.078369141E0,1.183291951E1
4.303538080E-1,-7.188039303E0,-2.694318295E0,9.128618240E0,1.192723485E1
4.327587560E-1,-7.267002583E0,-2.679961443E0,9.145368576E0,1.198454364E1
4.351637030E-1,-7.353144169E0,-2.653640270E0,9.140582085E0,1.202750085E1
4.375686510E-1,-7.453642368E0,-2.624926329E0,9.073583603E0,1.203232904E1
4.399735470E-1,-7.604390144E0,-2.608176708E0,8.939585686E0,1.202270882E1
4.423784950E-1,-7.776673794E0,-2.624926329E0,8.757730484E0,1.200269706E1
4.447834430E-1,-7.972885132E0,-2.653640270E0,8.516056061E0,1.196377511E1
4.471883910E-1,-8.178668022E0,-2.725425005E0,8.214560509E0,1.190787791E1
4.495932870E-1,-8.365307808E0,-2.828316450E0,7.960920811E0,1.188923920E1
4.519982350E-1,-8.523234367E0,-2.943171740E0,7.764709473E0,1.189951668E1
4.544031830E-1,-8.671588898E0,-3.069991350E0,7.566105366E0,1.191080397E1
4.568081310E-1,-8.776873589E0,-3.242274761E0,7.417750359E0,1.194022094E1
4.592130260E-1,-8.858229637E0,-3.407379389E0,7.314858913E0,1.198272204E1
4.616179740E-1,-8.910871506E0,-3.594019651E0,7.226324558E0,1.202249454E1
4.640229220E-1,-8.944371223E0,-3.763910055E0,7.178467751E0,1.207059215E1
4.664278700E-1,-8.968298912E0,-3.902693748E0,7.178467751E0,1.213226290E1
4.688327660E-1,-8.956335068E0,-4.012763500E0,7.211967468E0,1.217910849E1
4.712377140E-1,-8.908478737E0,-4.125226021E0,7.283751965E0,1.222421882E1
4.736426620E-1,-8.836693764E0,-4.211368084E0,7.367500782E0,1.225164665E1
4.760476100E-1,-8.774480820E0,-4.297509670E0,7.494320393E0,1.231360797E1
4.784525060E-1,-8.654839516E0,-4.359723091E0,7.647460938E0,1.234492168E1
4.808574530E-1,-8.528019905E0,-4.398007870E0,7.802994728E0,1.236755123E1
4.832624010E-1,-8.432307243E0,-4.431507587E0,7.999206066E0,1.243902579E1
4.856673490E-1,-8.307880402E0,-4.448257446E0,8.209774017E0,1.249833031E1
4.880722450E-1,-8.202595711E0,-4.453042984E0,8.439485550E0,1.258320645E1
4.904771930E-1,-8.123632431E0,-4.438685894E0,8.659625053E0,1.267613673E1
4.928821410E-1,-8.068597794E0,-4.407579422E0,8.877371788E0,1.278032694E1
4.952870370E-1,-8.049455643E0,-4.400400639E0,9.102297783E0,1.292319956E1
4.976919850E-1,-8.044670105E0,-4.366901398E0,9.300901413E0,1.304964796E1
5.000969330E-1,-8.070990562E0,-4.350151539E0,9.499505997E0,1.320247406E1
5.025018810E-1,-8.133204460E0,-4.311866283E0,9.676574707E0,1.335579663E1
5.049067760E-1,-8.212167740E0,-4.252045631E0,9.784252167E0,1.346295590E1
5.073117240E-1,-8.283951759E0,-4.194618225E0,9.884750366E0,1.356196773E1
5.097166720E-1,-8.382058144E0,-4.156332970E0,9.951749802E0,1.365911149E1
5.121216200E-1,-8.499305725E0,-4.115654945E0,9.951749802E0,1.371911577E1
5.145265160E-1,-8.614161491E0,-4.089334011E0,9.863214493E0,1.371894424E1
5.169314640E-1,-8.733802795E0,-4.086941242E0,9.700503349E0,1.367779826E1
5.193364120E-1,-8.853444099E0,-4.125226021E0,9.509077072E0,1.363170968E1
5.217413600E-1,-8.980263710E0,-4.182653904E0,9.308079720E0,1.359338361E1
5.241462560E-1,-9.102297783E0,-4.252045631E0,9.097511292E0,1.355346556E1
