"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.516531970E-1,-4.438685894E0,4.005585194E0,6.496513367E0,8.829005104E0
2.540580410E-1,-4.431507587E0,3.948157310E0,6.393621922E0,8.723795442E0
2.564628850E-1,-4.448257446E0,3.919443607E0,6.290730953E0,8.644207796E0
2.588677280E-1,-4.433900356E0,3.936193228E0,6.240481377E0,8.607943849E0
2.612725720E-1,-4.450650215E0,3.929014683E0,6.214160442E0,8.594255856E0
2.636774160E-1,-4.512863636E0,3.921836376E0,6.171089649E0,8.592385362E0
2.660822600E-1,-4.577469826E0,3.926621914E0,6.128018856E0,8.597918630E0
2.684871030E-1,-4.656432629E0,3.943371773E0,6.125626087E0,8.646146004E0
2.708918950E-1,-4.733003139E0,3.964907169E0,6.130411625E0,8.700790439E0
2.732967390E-1,-4.792823792E0,3.984049797E0,6.106483459E0,8.725419928E0
2.757015830E-1,-4.869394302E0,3.981656790E0,6.108876228E0,8.768292903E0
2.781064260E-1,-4.926821709E0,4.015156269E0,6.108876228E0,8.815521583E0
2.805112700E-1,-4.989035130E0,4.036691666E0,6.116054535E0,8.865183258E0
2.829161140E-1,-5.032105923E0,4.031906128E0,6.173482418E0,8.926939129E0
2.853209580E-1,-5.070391178E0,4.022335052E0,6.238088608E0,8.988981892E0
2.877258010E-1,-5.101497650E0,4.012763500E0,6.302694798E0,9.047182484E0
2.901306450E-1,-5.120640278E0,4.005585194E0,6.419943333E0,9.136812464E0
2.925354370E-1,-5.106283665E0,3.988835335E0,6.549155712E0,9.212837822E0
2.949402800E-1,-5.058426857E0,3.964907169E0,6.699903488E0,9.284227371E0
2.973451240E-1,-4.991427898E0,3.936193228E0,6.860222340E0,9.352572916E0
2.997499680E-1,-4.943571568E0,3.888336897E0,7.013363361E0,9.420473943E0
3.021548120E-1,-4.838287354E0,3.850051641E0,7.171289444E0,9.468860251E0
3.045596550E-1,-4.759324074E0,3.799802303E0,7.305287361E0,9.510882536E0
