"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.473147350E0,1.047458172E0,1.257847023E1,1.148375416E1
3.492387454E0,-2.059622049E0,1.208734322E1,8.968298912E0
3.511627454E0,-4.074976921E0,1.267119217E1,8.069794655E0
3.530867558E0,-6.591030121E0,1.313779259E1,9.296115875E0
3.550107662E0,-8.504091263E0,1.195753288E1,1.231765270E1
3.569347766E0,-8.630910873E0,8.701499939E0,1.580160236E1
3.588587870E0,-8.527421951E0,5.050650597E0,1.710269928E1
3.607827870E0,-7.262216568E0,2.371287346E0,1.576570988E1
3.627067975E0,-6.410970211E0,2.180459738E0,1.263649654E1
3.646308079E0,-3.172284603E0,5.429314613E0,1.002951622E1
3.665548183E0,5.447260857E0,8.491529465E0,1.391904926E1
3.684788287E0,1.610130310E1,7.360920429E0,1.567777443E1
3.704028287E0,2.221795654E1,5.189434052E0,1.398006630E1
3.723268391E0,2.256312180E1,3.742374659E0,1.263470173E1
3.742508495E0,1.842353821E1,2.267797709E0,8.950951576E0
3.761748600E0,1.194018459E1,1.049850941E0,6.817749977E0
3.780988704E0,7.880761147E0,3.098705411E-1,6.555137634E0
3.800228704E0,7.205387115E0,7.214360237E-1,6.415755749E0
3.819468808E0,8.082955360E0,1.688136339E0,4.931009293E0
3.838708912E0,8.346763611E0,1.886142492E0,2.532204628E0
3.857949016E0,7.718049526E0,1.548156261E0,1.359721422E0
3.877189120E0,6.548557281E0,1.199402332E0,2.110469580E0
3.896429120E0,5.598606586E0,1.417149186E0,3.257827997E0
3.915669225E0,4.488935471E0,2.189432621E0,4.668995380E0
3.934909329E0,2.048256159E0,3.728615999E0,4.467998028E0
3.954149433E0,-6.077769399E-1,6.703492641E0,1.922034740E0
3.973389433E0,2.997010350E-1,1.014736271E1,4.660021961E-1
3.992629537E0,3.352942705E0,1.098425198E1,2.725425005E0
4.011869641E0,5.688337803E0,9.259027481E0,9.086145401E0
4.031109745E0,5.326423168E0,7.553543091E0,1.063310528E1
4.050349850E0,4.998008251E0,6.253043652E0,9.533005714E0
4.069589850E0,5.497509956E0,5.258825779E0,7.667799950E0
4.088829954E0,6.564110756E0,4.907081127E0,6.126224041E0
4.108070058E0,7.350750923E0,4.320839405E0,5.208576679E0
4.127310162E0,5.882156372E0,3.888935089E0,4.627718925E0
4.146550162E0,3.602394581E0,4.529015064E0,4.784449100E0
4.165790266E0,1.154536903E-1,6.644270420E0,6.279364586E0
4.185030370E0,-1.695314884E0,9.432506561E0,9.150752068E0
4.204270475E0,-4.161716938E0,1.227398396E1,1.169073296E1
4.223510475E0,-5.957530022E0,1.516391563E1,1.140419292E1
4.242750579E0,-3.218944550E0,1.727917099E1,1.661815262E1
4.261990683E0,5.207380295E0,1.685923004E1,2.174118614E1
4.281230787E0,1.310070419E1,1.356072426E1,2.097129631E1
4.300470787E0,1.315872955E1,9.663414001E0,1.580160236E1
4.319710891E0,9.318847656E0,7.295716286E0,1.048176003E1
4.338950995E0,7.160521984E0,6.995417118E0,6.802196503E0
4.358191100E0,6.947560310E0,7.253243446E0,4.753940582E0
4.377431204E0,7.884948730E0,6.299105644E0,3.582055569E0
4.396671204E0,8.347361565E0,3.669991732E0,2.526820660E0
4.415911308E0,7.414160728E0,8.961120844E-1,-1.734796353E-2
4.435151412E0,5.837889194E0,-1.197607756E0,-3.087937593E0
4.454391516E0,5.806184292E0,-3.024527788E0,-5.378467083E0
4.473631516E0,6.791429043E0,-4.022335052E0,-5.871388435E0
4.492871620E0,7.910073280E0,-4.177868366E0,-4.520041943E0
4.512111725E0,8.968897820E0,-3.582055569E0,-3.476771355E0
4.531351829E0,9.352945328E0,-2.615355253E0,-4.003790379E0
4.550591829E0,9.335597992E0,-1.307677627E0,-4.253242016E0
4.569831933E0,1.029930687E1,7.824530005E-1,-9.535398483E-1
4.589072037E0,1.216271782E1,4.688735962E0,6.690930367E0
4.608312037E0,1.181635666E1,9.139386177E0,1.744068527E1
4.627552141E0,1.116790104E1,1.319103336E1,2.672244453E1
4.646792245E0,1.077906799E1,1.441795254E1,3.132683372E1
4.666032350E0,1.125763226E1,1.284826088E1,3.007419205E1
4.685272350E0,9.731011391E0,1.129292679E1,2.260439682E1
4.704512454E0,6.032904148E0,1.197129154E1,1.197547913E1
4.723752558E0,3.677170277E0,1.281536007E1,3.704089403E0
4.742992662E0,2.531008244E0,1.218724346E1,1.706680775E0
4.762232662E0,1.315454245E0,1.070130062E1,2.929413080E0
4.781472766E0,6.185446382E-1,9.635896683E0,4.239483356E0
4.800712870E0,-8.817551732E-1,8.933603287E0,3.774079561E0
4.819952870E0,-3.644867182E0,8.187641144E0,3.617947817E0
4.839192975E0,-6.243472576E0,8.112266541E0,5.471189022E0
4.858433079E0,-6.519843578E0,8.273183823E0,7.980661869E0
4.877673183E0,-5.216951370E0,7.781459332E0,9.633503914E0
4.896913183E0,-4.067200184E0,6.911069870E0,9.909874916E0
4.916153287E0,-3.738187075E0,6.978068829E0,9.205188751E0
4.935393391E0,-4.010370731E0,8.740981102E0,9.316454887E0
4.954633391E0,-2.346162558E0,1.091246796E1,1.189472103E1
4.973873495E0,1.230509043E0,1.173918819E1,1.635374641E1
4.993113600E0,4.885545731E0,1.114397335E1,1.881117439E1
5.012353704E0,7.229913712E0,8.439485550E0,1.572682667E1
5.031593704E0,6.224927902E0,6.251847267E0,1.198564816E1
5.050833808E0,4.445864677E0,4.701896667E0,1.070309544E1
5.070073912E0,4.633102894E0,3.019742250E0,1.018564796E1
5.089313912E0,5.150550842E0,1.485344648E0,8.407780647E0
5.108554016E0,6.319444656E0,7.597211748E-2,4.435096741E0
5.127794120E0,8.097909927E0,-1.986042738E0,-3.571287692E-1
