"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.259899068E0,-7.999274135E-1,2.417039156E0,3.048978746E-1
2.279139068E0,-4.596757591E-1,2.652374983E0,5.866592526E-1
2.298379172E0,8.704823256E-2,2.568381071E0,6.356811523E-1
2.317619277E0,8.651372194E-1,2.430478334E0,5.245037675E-1
2.336859381E0,1.606879830E0,2.010661364E0,5.843685269E-1
2.356099485E0,1.534645081E0,1.282663345E0,4.515054226E-1
2.375339485E0,1.023503900E0,1.555261731E0,1.870009750E-1
2.394579589E0,2.570213675E-1,2.083659649E0,3.840812296E-2
2.413819693E0,-1.522580534E-1,2.347095251E0,3.354411125E-1
2.433059797E0,-2.293797284E-1,2.360534191E0,9.337831736E-1
2.452299902E0,-5.166388750E-1,2.053880215E0,1.306410670E0
2.471540006E0,-9.767727852E-1,1.838244796E0,1.252807260E0
2.490780006E0,-1.413235664E0,1.484095931E0,1.005559802E0
2.510020110E0,-1.833205223E0,8.973603845E-1,1.028619885E0
2.529260214E0,-2.065639257E0,2.863428593E-1,1.197065949E0
2.548500318E0,-1.848782301E0,-2.727511227E-1,1.057636023E0
2.567740422E0,-1.506392598E0,-1.006857872E0,6.645445228E-1
2.586980527E0,-5.638281703E-1,-1.215926290E0,2.480874658E-1
2.606220527E0,3.515526950E-1,-1.211039424E0,-4.208094776E-1
2.625460631E0,7.783944607E-1,-1.635743141E0,-1.059774041E0
2.644700735E0,1.136361241E0,-2.627787590E0,-1.473024011E0
2.663940839E0,7.619010806E-1,-4.756803989E0,-2.172922373E0
2.683180943E0,-4.882336855E-1,-6.055502415E0,-2.676427603E0
2.702420943E0,-2.651153088E0,-6.101317406E0,-2.536997795E0
2.721661047E0,-4.262156487E0,-4.430144310E0,-2.028758287E0
2.740901152E0,-4.127766132E0,-2.772257090E0,-1.712483048E0
2.760141256E0,-2.942993879E0,-2.499200583E0,-1.376049280E0
2.779381360E0,-1.696524262E0,-2.390772104E0,-1.077183723E0
2.798621464E0,-7.383828163E-1,-2.481790781E0,-8.441387415E-1
2.817861464E0,1.412624866E-1,-2.430172920E0,-5.920043588E-1
2.837101568E0,7.466294765E-1,-2.123671293E0,-3.371210098E-1
2.856341672E0,7.124210596E-1,-1.238222957E0,-1.807396114E-1
2.875581777E0,3.817904973E-3,1.146898642E-1,-4.635699987E-1
2.894821881E0,-6.809614897E-1,1.775020361E0,-6.578249931E-1
2.914061881E0,-7.722858191E-1,3.187492371E0,-3.649153411E-1
2.933301985E0,-2.443459183E-1,3.848600864E0,3.876700699E-1
2.952542089E0,7.863357067E-1,3.731772900E0,1.307479739E0
2.971782193E0,2.287230492E0,3.231322050E0,1.982027173E0
2.991022297E0,3.962221622E0,2.290742874E0,2.203465700E0
3.010262402E0,4.779406071E0,-4.276053514E-3,1.563126564E0
3.029502402E0,4.624704361E0,-1.499825716E0,4.371501207E-1
3.048742506E0,3.427715063E0,-1.063973784E0,-1.761581302E-1
3.067982610E0,1.610086799E0,8.906408548E-1,-1.146135032E-1
3.087222714E0,2.470948100E-1,2.976133108E0,3.285689056E-1
3.106462818E0,-4.453204274E-1,4.084089279E0,6.946296096E-1
3.125702818E0,-4.943423271E-1,4.028500557E0,1.145753264E0
3.144942922E0,-1.517999023E-1,3.124573231E0,1.546785951E0
3.164183027E0,4.842630625E-1,2.105345488E0,1.736764908E0
3.183423131E0,1.241888046E0,1.136055827E0,1.806556225E0
3.202663235E0,1.636812210E0,2.701549530E-1,1.392695308E0
3.221903235E0,1.592677236E0,-5.818486959E-2,7.662535310E-1
3.241143339E0,1.601687431E0,1.444695145E-1,4.134790897E-1
3.260383443E0,1.550832987E0,-1.846338809E-1,1.992946304E-2
3.279623547E0,1.588401198E0,-1.104138136E0,-6.799688339E-1
3.298863652E0,1.746309638E0,-1.953850985E0,-1.096273184E0
3.318103652E0,3.790415823E-1,-3.735743523E0,-1.489364743E0
3.337343756E0,-2.613584995E0,-5.754804134E0,-1.710345030E0
3.356583860E0,-5.958985806E0,-6.749292374E0,-7.665589452E-1
3.375823964E0,-6.811295033E0,-4.983892918E0,4.635699987E-1
3.395064068E0,-5.138442039E0,-2.217897415E0,3.946950138E-1
3.414304068E0,-2.573878765E0,-1.520900607E0,2.888626754E-1
3.433544172E0,-1.366809905E-1,-2.540128469E0,4.673879147E-1
3.452784277E0,1.522885919E0,-3.752236843E0,1.895971596E-1
3.472024381E0,2.190103054E0,-4.363559723E0,-6.879864633E-2
3.491264485E0,2.210872412E0,-3.978409529E0,6.253728271E-2
3.510504485E0,1.837786674E0,-2.536921501E0,2.714530230E-1
3.529744589E0,1.273194909E0,-7.974839807E-1,9.980003536E-2
3.548984693E0,1.028543591E0,8.301652074E-1,-8.575014025E-2
3.568224797E0,1.411708474E0,2.434754372E0,-1.402698308E-1
3.587464902E0,2.441168308E0,3.882961988E0,3.352120519E-2
3.606704902E0,3.751473427E0,4.786583900E0,5.648208261E-1
