"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.865331260E0,-1.369891018E-1,8.918647766E0,5.720042706E0
2.884570323E0,-6.759724021E-2,8.781659126E0,6.250052929E0
2.903809281E0,2.524427772E-1,8.610571861E0,7.063014030E0
2.923048344E0,2.895315289E-1,8.620143890E0,7.864609718E0
2.942287406E0,-1.734796464E-1,9.273384094E0,7.689933777E0
2.961526469E0,-8.380861282E-1,9.730413437E0,5.732604980E0
2.980765531E0,-1.410568953E0,9.883553505E0,4.777868748E0
3.000004490E0,-7.645068169E-1,8.571688652E0,6.103492260E0
3.019243552E0,4.947160780E-1,7.123433113E0,8.106285095E0
3.038482615E0,1.349551916E0,6.840481758E0,8.807381630E0
3.057721677E0,7.555337548E-1,7.186842918E0,7.606783390E0
3.076960740E0,-5.024927258E-1,7.521239758E0,6.235097408E0
3.096199698E0,-1.076770186E0,7.477570534E0,5.726622581E0
3.115438760E0,-7.950153351E-1,7.233502865E0,5.688337803E0
3.134677823E0,-2.416750938E-1,6.936194420E0,5.760720730E0
3.153916885E0,1.998006850E-1,6.665207386E0,5.792425632E0
3.173155948E0,5.724828243E-1,6.478567123E0,5.900700569E0
3.192395010E0,7.902296782E-1,6.412166595E0,6.047859192E0
3.211633969E0,8.321040869E-1,6.457630157E0,5.913861275E0
3.230873031E0,8.141579032E-1,6.429514408E0,5.713462353E0
3.250112094E0,6.843472719E-1,6.425326824E0,5.566303730E0
3.269351156E0,5.198407173E-1,6.526423931E0,5.687141418E0
3.288590219E0,5.575276613E-1,6.760322094E0,5.809773445E0
3.307829281E0,6.041877270E-1,7.144968510E0,5.715855122E0
3.327068240E0,4.043870270E-1,7.586444378E0,5.452046394E0
3.346307302E0,2.739782035E-1,7.823333740E0,5.386841774E0
3.365546365E0,5.718846321E-1,7.819146156E0,5.795416355E0
3.384785427E0,9.266205430E-1,7.808976650E0,6.352943897E0
3.404024490E0,9.708877802E-1,7.996214867E0,6.559325218E0
3.423263552E0,8.829515576E-1,8.319844246E0,6.334998131E0
3.442502510E0,8.470591903E-1,8.601598740E0,6.121438503E0
3.461741573E0,7.154539824E-1,8.647661209E0,6.178267956E0
3.480980635E0,7.351947427E-1,8.572287560E0,6.479763508E0
3.500219698E0,1.000199914E0,8.772088051E0,7.195816040E0
3.519458760E0,8.817551732E-1,9.314660072E0,7.548159122E0
3.538697823E0,8.063812256E-1,9.263215065E0,6.661618233E0
3.557936885E0,6.496513486E-1,9.046664238E0,5.967101574E0
3.577175844E0,7.010970116E-1,8.406583786E0,6.134000778E0
3.596414906E0,1.385444283E0,7.694719315E0,6.678966045E0
3.615653969E0,2.024327993E0,7.261020184E0,7.214958668E0
3.634893031E0,1.746162295E0,7.008577347E0,7.069594383E0
3.654132094E0,8.548358679E-1,6.993024349E0,6.326025009E0
3.673371156E0,1.328016520E-1,6.912864685E0,5.564508915E0
3.692610219E0,-1.788634956E-1,6.793223381E0,5.187041283E0
3.711849177E0,2.691925503E-2,6.726224422E0,5.377869129E0
3.731088240E0,4.857429862E-1,6.633502483E0,5.642275810E0
3.750327302E0,7.304090858E-1,6.713063717E0,5.697908878E0
3.769566365E0,5.946164131E-1,6.875177860E0,5.295316696E0
3.788805427E0,2.769692242E-1,7.022336483E0,4.936991215E0
3.808044490E0,8.434699476E-2,7.026523590E0,4.941178799E0
3.827283552E0,3.876372576E-1,7.017550468E0,5.271986485E0
3.846522615E0,7.369893789E-1,7.162316322E0,5.667998791E0
3.865761573E0,6.376872063E-1,7.423732281E0,5.691328526E0
