"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.076699125E0,1.230128929E-1,5.855902433E-1,5.486329198E-1
5.095938188E0,1.544724256E-1,4.667770565E-1,5.521454215E-1
5.115177250E0,1.016326249E-1,4.495201111E-1,5.550470352E-1
5.134416313E0,4.696023092E-2,5.402335525E-1,5.394699574E-1
5.153655375E0,4.466948658E-2,7.077631950E-1,5.138136148E-1
5.172894438E0,6.559160352E-2,8.262709975E-1,5.087739825E-1
5.192133500E0,7.322741300E-2,8.730021119E-1,5.243510604E-1
5.211372563E0,7.735075057E-2,8.372665644E-1,5.370265245E-1
5.230611521E0,1.106428802E-1,7.627410293E-1,5.825359225E-1
5.249850583E0,1.633299738E-1,6.643918157E-1,6.367501616E-1
5.269089646E0,2.435059696E-1,6.595048904E-1,6.657662392E-1
5.288328708E0,3.537670672E-1,7.363211513E-1,6.483566165E-1
5.307567771E0,3.091739416E-1,5.952113867E-1,5.900190473E-1
5.326806833E0,3.642281145E-2,4.829649627E-1,5.790234804E-1
5.346045896E0,-1.964693815E-1,7.633519173E-1,6.335431337E-1
5.365284958E0,-3.117701113E-1,1.076114655E0,6.718748808E-1
5.384524021E0,-3.107011020E-1,1.252043724E0,6.651554108E-1
5.403763083E0,-1.437823027E-1,1.319391608E0,6.842449307E-1
5.423002146E0,5.093085021E-2,1.094287872E0,7.135664225E-1
5.442241208E0,1.541669965E-1,7.456368208E-1,7.334195375E-1
5.461480271E0,1.204167232E-1,5.388590693E-1,7.577013969E-1
5.480719333E0,6.032289471E-3,5.388590693E-1,7.856484652E-1
5.499958396E0,-1.375209391E-1,5.987238288E-1,7.583122849E-1
5.519197458E0,-2.312886715E-1,6.848557591E-1,6.749292016E-1
5.538436521E0,-2.421315312E-1,8.291725516E-1,5.869646668E-1
5.557675583E0,-1.973856837E-1,9.485966563E-1,5.246564746E-1
5.576914646E0,-1.436295807E-1,9.282854199E-1,4.710530937E-1
5.596153708E0,-1.065195426E-1,7.712931633E-1,4.450913370E-1
5.615392771E0,-7.047852129E-2,6.124683022E-1,4.563923478E-1
5.634631833E0,-3.214675933E-2,4.957931340E-1,4.516581595E-1
5.653870896E0,-1.366809942E-2,3.710239828E-1,4.125627875E-1
5.673109958E0,-3.993528336E-2,2.540434003E-1,3.513236046E-1
5.692349021E0,-1.335503161E-1,2.248746008E-1,2.928332984E-1
5.711588083E0,-2.204458266E-1,2.671769857E-1,2.535852492E-1
5.730827146E0,-1.900553107E-1,3.149771392E-1,2.176969349E-1
5.750066208E0,7.559451740E-3,2.920697331E-1,1.527925581E-1
5.769305271E0,2.583194375E-1,1.459203213E-1,5.597048625E-2
5.788544333E0,4.147008359E-1,-6.101011857E-2,-2.313650399E-2
5.807783396E0,4.253909588E-1,-1.966221035E-1,-8.300124854E-2
5.827022458E0,2.899316847E-1,-2.713003159E-1,-1.355356276E-1
5.846261521E0,4.237874225E-2,-2.923751473E-1,-1.686750352E-1
5.865500583E0,-1.393535286E-1,-2.641226649E-1,-1.902080178E-1
5.884739646E0,-7.093667239E-2,-2.454912812E-1,-2.364810258E-1
5.903978708E0,1.190422773E-1,-2.761872411E-1,-3.499491513E-1
5.923217771E0,1.243873388E-1,-2.775616944E-1,-4.609738290E-1
5.942456833E0,-1.165988147E-1,-1.584430486E-1,-4.438696206E-1
5.961695896E0,-3.691914082E-1,1.153007243E-2,-3.585012555E-1
5.980934958E0,-4.172970057E-1,7.002037764E-2,-3.255145550E-1
6.000174021E0,-2.629009187E-1,2.008217946E-2,-3.643044829E-1
6.019413083E0,-5.016727000E-2,-6.528617442E-2,-4.093557596E-1
