"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.422060956E0,5.199986324E-2,-6.139190868E-2,1.313359290E-2
8.470159289E0,4.482220486E-2,1.313359290E-2,1.802051067E-2
8.518257623E0,-1.061377581E-2,1.160643063E-2,2.054032870E-2
8.566355852E0,-2.367101051E-2,4.680751264E-2,2.405280061E-2
8.614454185E0,-4.810560029E-3,-1.901316643E-2,2.122755162E-2
8.662552519E0,-4.825831577E-2,-2.275471389E-2,-1.244636998E-2
8.710650748E0,6.979130208E-2,-3.642281145E-2,-4.337139800E-2
8.758749081E0,7.200568914E-2,-8.323032409E-3,-1.664606482E-2
8.806847414E0,-5.650499370E-3,-1.901316643E-2,2.535088919E-2
8.854945644E0,1.007926930E-2,-2.038761228E-2,4.780016840E-2
8.903043977E0,-1.740964688E-2,2.603811212E-2,5.841394514E-2
8.951142310E0,-8.323032409E-3,-2.878700197E-2,3.313941509E-2
8.999240539E0,2.603811212E-2,-1.320995111E-2,3.275762498E-2
9.047338873E0,-2.412915789E-2,2.466366626E-2,1.450803829E-3
9.095437206E0,-3.940077871E-2,1.527161949E-4,-3.229947388E-2
9.143535435E0,-7.406735327E-3,1.412624773E-2,-3.871355578E-2
9.191633769E0,5.497782957E-3,-9.621120058E-3,-3.000873141E-2
9.239732102E0,2.825249685E-3,-2.115119249E-2,-7.635809598E-4
9.287830331E0,-5.925388262E-2,-8.689551800E-2,2.664897591E-2
9.335928664E0,1.924224012E-2,-7.101302966E-3,2.634354308E-2
9.384026998E0,1.122464053E-2,2.145662531E-2,-7.483093534E-3
9.432125331E0,1.382081583E-2,6.505709887E-2,-2.939786762E-2
9.480223560E0,2.855792828E-2,7.040216774E-2,1.977674663E-2
9.528321894E0,-3.313941509E-2,-1.511890348E-2,2.863428742E-2
9.576420123E0,-3.520108387E-2,4.024071619E-2,3.741546720E-2
9.624518456E0,-2.237292193E-2,-3.245219216E-2,1.817322709E-2
9.672616789E0,-1.427896414E-2,-1.565340906E-2,-4.963276442E-3
9.720715123E0,5.345067009E-3,-1.099556591E-2,-2.725984156E-2
9.768813352E0,-6.337722298E-3,-5.345066893E-4,-4.627300799E-2
9.816911685E0,8.704823442E-3,-1.412624773E-2,-3.863719851E-2
9.865009914E0,6.513345987E-2,1.832594397E-3,-1.466075517E-2
9.913108248E0,2.099847607E-2,1.702785492E-2,1.626427472E-2
9.961206581E0,-2.527453005E-2,5.115992390E-3,1.748600416E-2
1.000930491E1,-2.015853859E-2,6.162098423E-2,2.099847607E-2
1.005740314E1,-1.496618707E-2,2.695440874E-2,1.832594397E-3
1.010550148E1,-1.244636998E-2,5.009091273E-2,1.779143699E-2
1.015359981E1,-4.505127668E-3,8.475748822E-3,1.847865991E-2
1.020169804E1,2.321286127E-2,3.138317913E-2,3.245219216E-2
1.024979637E1,3.588830587E-3,-4.657844082E-3,2.756527252E-2
1.029789471E1,2.183841541E-2,-1.916588284E-2,6.643154658E-3
1.034599294E1,1.710421406E-2,-1.656970754E-2,6.948587019E-3
1.039409127E1,-2.741255611E-2,-1.107192412E-2,-2.092211880E-2
1.044218960E1,3.817904973E-3,6.337722298E-3,-1.565340906E-2
1.049028783E1,1.183550525E-2,-2.580903657E-2,1.351538301E-2
1.053838616E1,-1.023198478E-2,2.283107117E-2,1.259908639E-2
1.058648450E1,-2.672533505E-3,-2.107483521E-2,1.664606482E-2
1.063458273E1,-1.450803829E-3,2.504545636E-2,1.420260593E-2
1.068268106E1,3.046688065E-2,2.512181364E-2,2.619082667E-2
1.073077929E1,9.926552884E-4,2.741255611E-2,2.061668597E-2
1.077887762E1,3.405570984E-2,2.916879393E-2,3.222311661E-2
1.082697596E1,-7.101302966E-3,1.305723470E-2,3.214675933E-2
1.087507418E1,1.710421406E-2,1.145371469E-3,1.412624773E-2
1.092317252E1,4.451677203E-2,4.115701467E-2,2.099847607E-2
1.097127085E1,7.941242307E-3,1.313359290E-2,1.107192412E-2
1.101936908E1,1.000291109E-2,4.451677203E-2,1.145371469E-3
1.106746741E1,2.748891525E-2,4.772381112E-2,-5.574141163E-3
1.111556575E1,-9.162971750E-3,8.781181648E-3,2.977965865E-3
1.116366398E1,-9.239329956E-3,2.672533505E-3,-4.581485991E-4
1.121176231E1,1.893680729E-2,-1.840230078E-2,1.679878100E-3
1.125986064E1,6.261364091E-3,-3.153589368E-2,-9.010255337E-3
1.130795887E1,9.239329956E-3,-8.933897130E-3,6.872228696E-4
1.135605721E1,-9.697478265E-3,-4.909825698E-2,-1.580612548E-2
1.140415554E1,2.115119249E-2,-4.428769462E-3,-2.031125315E-2
1.145225377E1,-4.046979174E-2,-1.702785492E-2,-1.030834299E-2
1.150035210E1,-2.168569900E-2,-2.260199748E-2,-7.101302966E-3
1.154845044E1,-1.160643063E-2,-1.351538301E-2,5.192350596E-3
1.159654866E1,-2.893971838E-2,-1.046105940E-2,3.817904799E-4
1.164464700E1,-1.496618707E-2,3.054323839E-3,7.864884101E-3
1.169274533E1,2.359465137E-2,-2.695440874E-2,1.290451828E-2
1.174084356E1,-1.030834299E-2,3.207040019E-3,1.786779426E-2
1.178894189E1,-7.024944760E-3,-7.101302966E-3,2.443459071E-2
1.183704023E1,-2.496909723E-2,7.177661173E-3,1.481347065E-2
1.188513846E1,-6.337722298E-3,-3.130682046E-3,-7.254019380E-3
1.193323679E1,1.343902480E-2,1.389717404E-2,-6.490438245E-3
1.198133502E1,-6.108647678E-3,-6.872228812E-3,-7.024944760E-3
1.202943335E1,-1.137735695E-2,1.488982886E-2,5.345067009E-3
1.207753168E1,-3.787361458E-2,-1.130099874E-2,2.825249685E-3
1.212562991E1,-4.428769462E-3,-5.955931731E-3,1.069013379E-3
1.217372770E1,-6.421715766E-2,-1.450803829E-3,-1.359174121E-2
1.222182604E1,2.932151034E-2,-5.955931731E-3,-2.840521187E-2
1.226992427E1,3.352120519E-2,1.183550525E-2,-2.573267929E-2
1.231802260E1,-1.069013402E-2,-2.107483521E-2,-4.581485991E-4
1.236612093E1,3.588830587E-3,5.421424750E-3,9.850194678E-3
1.241421916E1,-1.893680729E-2,-1.374445762E-2,3.054323897E-4
1.246231750E1,9.773836471E-3,-1.756236330E-2,-3.207040019E-3
1.251041583E1,-1.595884189E-2,1.488982886E-2,-1.099556591E-2
1.255851406E1,1.893680729E-2,-5.803215317E-3,-4.963276442E-3
1.260661239E1,1.007926930E-2,1.672242396E-2,7.406735327E-3
1.265471073E1,-1.893680729E-2,-1.886045001E-2,1.420260593E-2
1.270280895E1,-5.192350596E-3,2.466366626E-2,2.031125315E-2
1.275090729E1,-2.664897591E-2,1.145371469E-3,7.635809743E-5
1.279900562E1,3.970621154E-3,1.626427472E-2,-5.039634649E-3
1.284710395E1,1.725693047E-2,1.259908639E-2,-2.901607659E-3
1.289520218E1,1.970038936E-2,-3.741546767E-3,1.137735695E-2
1.294330052E1,-1.710421406E-2,-4.046979360E-3,9.315688163E-3
1.299139885E1,-2.718348242E-2,9.086613543E-3,7.406735327E-3
1.303949708E1,-2.290742937E-3,1.007926930E-2,2.901607659E-3
1.308759541E1,-1.527161920E-3,1.145371469E-3,-8.399390499E-4
1.313569375E1,6.414080039E-3,1.802051067E-2,2.519817324E-3
1.318379198E1,-2.145662531E-2,1.756236190E-3,6.872228812E-3
1.323189031E1,-1.863137633E-2,-2.405280061E-2,3.054323897E-4
1.327998864E1,1.374445739E-3,2.519817278E-2,-6.872228812E-3
1.332808698E1,-1.572976820E-2,1.450803829E-3,-2.443459118E-3
1.337618520E1,1.091920771E-2,-9.086613543E-3,3.054323897E-4
1.342428354E1,5.574141070E-2,-1.992946304E-2,9.926552884E-4
1.347238187E1,-5.574141163E-3,-8.552107029E-3,-9.621120058E-3
1.352048020E1,9.162971750E-3,9.086613543E-3,-8.781181648E-3
1.356857843E1,-2.871064469E-2,6.566796452E-3,-1.718057133E-2
1.361667677E1,-2.031125315E-2,-7.788525894E-3,-2.367100911E-3
1.366477510E1,-2.015853859E-2,-6.872228696E-4,3.970621154E-3
1.371287343E1,1.679878123E-2,-2.183841541E-2,1.122464053E-2
1.376097166E1,8.017600514E-3,-2.359465137E-2,6.566796452E-3
1.380907000E1,2.138026757E-3,-3.130681813E-2,9.697478265E-3
1.385716833E1,-9.926552884E-4,-7.635809743E-5,-1.374445739E-3
1.390526666E1,-1.397353224E-2,-4.963276442E-3,2.443459118E-3
1.395336500E1,-2.947422490E-2,-1.473711245E-2,8.552107029E-3
1.400146322E1,-9.544761851E-3,1.496618707E-2,4.886918236E-3
1.404956156E1,-1.649334840E-2,-2.046396956E-2,6.872228696E-4
1.409765989E1,-2.115119249E-2,2.290742937E-3,-2.244928107E-2
1.414575823E1,2.672533318E-2,-1.221729536E-2,-1.595884189E-2
1.419385656E1,3.268126398E-2,-1.015562657E-2,-5.115992390E-3
1.424195489E1,-1.404988952E-2,-6.108647678E-3,7.559451740E-3
1.429005312E1,-1.191186346E-2,-1.542433538E-2,-1.908952487E-3
1.433815145E1,1.649334840E-2,-1.023198478E-2,-3.436114406E-3
1.438624979E1,-3.970621154E-3,-7.635809598E-4,-2.138026757E-3
1.443434812E1,-2.443459118E-3,3.130682046E-3,8.628465235E-3
1.448244645E1,7.864884101E-3,3.817904799E-4,1.916588284E-2
1.453054479E1,1.473711245E-2,-1.336266659E-2,2.115119249E-2
1.457864312E1,-2.390008420E-2,2.977965865E-3,-7.864884101E-3
1.462674135E1,-2.229656465E-2,8.323032409E-3,5.803215317E-3
1.467483968E1,-2.664897591E-2,4.505127668E-3,-1.030834299E-2
1.472293802E1,1.343902480E-2,1.076649129E-2,6.414080039E-3
