"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.758982779E0,-2.925225794E-1,7.275676250E0,6.642774582E0
6.807081112E0,-2.754737139E-1,7.225726128E0,6.803991318E0
6.855179446E0,-1.914258152E-1,7.232904434E0,6.619444847E0
6.903277675E0,-2.596212626E-1,7.258926392E0,6.652645111E0
6.951376008E0,-2.231307179E-1,7.255636692E0,6.625127792E0
6.999474341E0,-2.593221664E-1,7.300501823E0,6.738487720E0
7.047572571E0,-2.458625287E-1,7.306783199E0,6.645167351E0
7.095670904E0,-3.511467278E-1,7.246065140E0,6.886244297E0
7.143769237E0,-3.849453330E-1,7.315157890E0,6.593721867E0
7.191867466E0,-4.031906128E-1,7.369295597E0,6.425027847E0
7.239965800E0,-2.557329237E-1,7.300800800E0,6.503093719E0
7.288064133E0,-2.593221664E-1,7.316354275E0,6.505785465E0
7.336162362E0,-2.829512656E-1,7.260422230E0,6.634998322E0
7.384260696E0,-2.315055877E-1,7.344171047E0,6.438487530E0
7.432359029E0,-2.045863420E-1,7.306184769E0,6.574878216E0
7.480457258E0,-3.478565812E-1,7.310671329E0,6.667002201E0
7.528555591E0,-2.467598319E-1,7.346563816E0,6.534200668E0
7.576653821E0,-2.470589429E-1,7.285845757E0,6.641578197E0
7.624752154E0,-2.533400953E-1,7.241578579E0,6.812964439E0
7.672850487E0,-3.619144261E-1,7.329514980E0,6.643373013E0
7.720948821E0,-3.652045429E-1,7.302894592E0,6.642774582E0
7.769047050E0,-4.244269133E-1,7.329813957E0,6.494719028E0
7.817145383E0,-4.196412563E-1,7.329813957E0,6.476772785E0
7.865243716E0,-2.440679073E-1,7.322037220E0,6.585646152E0
7.913341946E0,-1.944168359E-1,7.344171047E0,6.468996048E0
7.961440279E0,-2.120639086E-1,7.302894592E0,6.691528320E0
8.009538612E0,-1.836491376E-1,7.366902828E0,6.601199627E0
8.057636841E0,-2.195414752E-1,7.371688366E0,6.513263226E0
8.105735175E0,-2.745763958E-1,7.344171047E0,6.585047722E0
8.153833508E0,-2.033899277E-1,7.389335632E0,6.431309223E0
8.201931737E0,-2.518445849E-1,7.360920429E0,6.455536366E0
8.250030071E0,-9.810572863E-2,7.364210606E0,6.460920334E0
8.298128404E0,-2.006980032E-1,7.301399231E0,6.677171707E0
8.346226633E0,-1.992024779E-1,7.309175968E0,6.685546398E0
8.394324966E0,-4.157529473E-1,7.341478825E0,6.761817455E0
8.442423300E0,-2.988037169E-1,7.415058136E0,6.492625237E0
8.490521529E0,-2.602194548E-1,7.436294556E0,6.326025009E0
8.538619862E0,-1.292124242E-1,7.338787079E0,6.446264267E0
8.586718196E0,-9.242277592E-2,7.273582458E0,6.655935287E0
8.634816529E0,6.400800496E-2,7.285845757E0,6.530312061E0
8.682914758E0,-5.234299600E-2,7.252645493E0,6.968497753E0
8.731013091E0,-3.604189157E-1,7.429116249E0,6.587739944E0
8.779111425E0,-4.435695112E-1,7.534101009E0,6.304190159E0
8.827209654E0,-2.659024298E-1,7.364210606E0,6.495018005E0
8.875307987E0,-1.115653589E-1,7.349853992E0,6.443273067E0
8.923406321E0,-6.640082598E-2,7.253243446E0,6.646663189E0
8.971504550E0,-1.154536903E-1,7.306783199E0,6.630810738E0
