"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.442682920E0,-7.177661173E-3,-1.832594397E-3,1.488982886E-2
5.490780212E0,-1.702785492E-2,-1.382081583E-2,5.574141163E-3
5.538877503E0,9.697478265E-3,-9.544761851E-3,1.282816008E-2
5.586974795E0,-1.359174121E-2,-2.565632015E-2,8.704823442E-3
5.635072191E0,-2.443459118E-3,2.748891478E-3,4.276053514E-3
5.683169483E0,-9.773836471E-3,-7.483093534E-3,5.650499370E-3
5.731266774E0,2.672533505E-3,-8.781181648E-3,-4.810560029E-3
5.779364170E0,1.832594397E-3,6.414080039E-3,1.298087649E-3
5.827461462E0,-3.046688065E-2,5.650499370E-3,1.046105940E-2
5.875558753E0,-2.779434808E-2,-1.259908639E-2,1.404988952E-2
5.923656149E0,1.985310577E-2,-1.343902480E-2,-2.672533505E-3
5.971753441E0,2.672533318E-2,-2.519817324E-3,7.712167688E-3
6.019850733E0,-7.024944760E-3,-1.855501719E-2,9.544761851E-3
6.067948024E0,2.031125315E-2,-2.901607659E-3,9.086613543E-3
6.116045420E0,6.490438245E-3,-2.878700197E-2,2.267835476E-2
6.164142712E0,7.635809598E-4,-4.054614902E-2,2.290742844E-2
6.212240003E0,-1.893680729E-2,-1.595884189E-2,6.414080039E-3
6.260337399E0,-4.138609022E-2,1.450803829E-3,-3.894262947E-3
6.308434691E0,-8.781181648E-3,3.817904973E-3,-3.359756200E-3
6.356531983E0,1.947131567E-2,-7.254019380E-3,-5.345067009E-3
6.404629378E0,-1.450803829E-3,-1.466075517E-2,1.198822167E-2
6.452726670E0,-2.832885459E-2,-2.825249685E-3,1.229365356E-2
6.500823962E0,1.756236190E-3,9.392046370E-3,8.475748822E-3
6.548921253E0,-3.512472380E-3,-1.298087649E-2,-1.710421406E-2
6.597018649E0,7.712167688E-3,6.032289471E-3,-1.275180187E-2
6.645115941E0,-9.926552884E-3,5.115992390E-3,3.741546767E-3
6.693213233E0,-1.145371422E-2,-2.512181364E-2,1.473711245E-2
6.741310628E0,1.908952370E-2,2.367100911E-3,2.290742996E-4
6.789407920E0,-1.237001177E-2,7.330377586E-3,7.254019380E-3
6.837505212E0,-2.580903657E-2,1.756236190E-3,1.992946304E-2
6.885602608E0,2.672533505E-3,9.086613543E-3,6.948587019E-3
6.933699899E0,-2.290742937E-3,-1.298087649E-2,3.817904799E-4
6.981797191E0,-5.879573524E-3,7.635809743E-5,5.879573524E-3
7.029894483E0,-2.764163166E-2,-9.850194678E-3,-2.596175298E-3
7.077991878E0,9.926552884E-3,4.657844082E-3,1.374445739E-3
7.126089170E0,5.039634649E-3,-1.626427472E-2,-2.367100911E-3
7.174186462E0,-3.741546767E-3,-1.527161920E-3,5.345066893E-4
7.222283858E0,-6.261364091E-3,1.038470119E-2,5.039634649E-3
7.270381149E0,-1.542433538E-2,-3.283398226E-3,1.901316643E-2
7.318478441E0,-2.015853859E-2,-1.298087649E-3,2.138026757E-3
7.366575733E0,-4.581485991E-4,8.857538924E-3,3.359756200E-3
7.414673128E0,-1.007926930E-2,-8.170315996E-3,-7.712167688E-3
7.462770420E0,1.832594397E-3,-6.261364091E-3,8.323032409E-3
7.510867712E0,9.621120058E-3,-1.870773360E-2,1.450803829E-3
7.558965108E0,3.130682046E-3,-3.741546767E-3,-2.290742996E-4
7.607062399E0,-9.162971750E-3,1.305723470E-2,2.519817324E-3
7.655159691E0,-1.145371422E-2,-1.122464053E-2,-4.199695308E-3
7.703257087E0,1.817322709E-2,6.108647794E-4,-3.130682046E-3
7.751354378E0,1.511890348E-2,1.221729559E-3,-9.926552884E-3
7.799451670E0,-8.399390499E-4,6.185005885E-3,-9.697478265E-3
7.847548962E0,4.886918236E-3,-3.741546767E-3,1.382081583E-2
7.895646358E0,6.337722298E-3,-7.101302966E-3,-1.985310577E-3
7.943743649E0,5.803215317E-3,1.000291109E-2,9.544761851E-3
7.991840941E0,-2.306014486E-2,7.864884101E-3,-9.926552884E-3
8.039938337E0,-3.512472380E-3,8.323032409E-3,8.323032409E-3
8.088035628E0,-8.475748822E-3,-5.955931731E-3,-1.557705179E-2
8.136132920E0,9.086613543E-3,5.726857111E-3,3.512472380E-3
8.184230212E0,-1.702785492E-2,-1.244636998E-2,6.490438245E-3
8.232327608E0,-4.123337101E-3,4.810560029E-3,7.406735327E-3
8.280424899E0,4.963276442E-3,-9.162971983E-4,-7.635809598E-4
8.328522191E0,3.283398226E-3,-2.206749097E-2,1.351538301E-2
8.376619587E0,-7.483093534E-3,-1.527161949E-4,-1.435532235E-2
8.424716878E0,1.069013379E-3,2.580903657E-2,1.527161920E-3
8.472814170E0,-9.239329956E-3,-2.603811212E-2,-2.367100911E-3
8.520911462E0,2.825249545E-2,2.977965865E-3,-1.320995111E-2
8.569008858E0,-6.414080039E-3,3.512472380E-3,-2.672533505E-3
8.617106149E0,-3.191768378E-2,2.099847607E-2,-1.725693047E-2
8.665203441E0,-5.345067009E-3,-5.345066893E-4,4.046979360E-3
8.713300733E0,1.389717404E-2,-2.466366626E-2,-1.824958436E-2
8.761398128E0,1.595884189E-2,1.320995111E-2,-7.788525894E-3
8.809495420E0,-2.619082667E-2,-7.635809743E-5,1.160643063E-2
8.857592712E0,-7.024944760E-3,-4.046979360E-3,1.595884189E-2
8.905690108E0,-6.872228696E-4,2.977965865E-3,-4.581485875E-3
8.953787399E0,-7.635809598E-4,1.450803829E-3,1.779143699E-2
9.001884691E0,-2.138026757E-3,-6.795870606E-3,-8.399390499E-4
9.049981983E0,3.512472380E-3,1.366809942E-2,-6.490438245E-3
9.098079378E0,1.527161949E-4,-4.581485875E-3,-4.963276442E-3
9.146176670E0,1.198822167E-2,-1.015562657E-2,-4.581485991E-4
9.194273962E0,6.566796452E-3,2.977965865E-3,1.756236190E-3
9.242371253E0,-2.046396956E-2,5.268708803E-3,1.527161949E-4
9.290468649E0,-4.428769462E-3,1.427896414E-2,-2.061668551E-3
9.338565941E0,4.657844082E-3,-8.704823442E-3,2.061668551E-3
9.386663233E0,1.000291109E-2,-2.000582218E-2,-6.948587019E-3
9.434760628E0,2.061668551E-3,1.824958436E-2,-0.000000000E0
9.482857920E0,-2.565632015E-2,-3.436114406E-3,1.137735695E-2
9.530955212E0,1.618791744E-2,-5.268708803E-3,-7.864884101E-3
9.579052503E0,1.870773360E-2,-1.504254527E-2,9.239329956E-3
9.627149899E0,-1.634063199E-2,-2.397644334E-2,-1.069013379E-3
9.675247191E0,-2.901607659E-3,3.222311661E-2,-9.086613543E-3
9.723344483E0,-1.481347065E-2,5.574141163E-3,-1.007926930E-2
9.771441774E0,1.725693047E-2,-6.108647678E-3,-1.175914705E-2
9.819539170E0,1.702785492E-2,-3.741546767E-3,-4.199695308E-3
9.867636462E0,-4.810560029E-3,-1.007926930E-2,3.817904973E-3
9.915733753E0,-2.061668551E-3,1.076649129E-2,1.175914705E-2
9.963831045E0,-1.206457894E-2,5.955931731E-3,3.741546767E-3
1.001192844E1,-6.108647794E-4,6.261364091E-3,6.719512399E-3
1.006002573E1,1.290451828E-2,-1.137735695E-2,-5.955931731E-3
1.010812302E1,3.054323897E-4,-5.345066893E-4,5.803215317E-3
1.015622032E1,-6.872228812E-3,2.367100911E-3,2.519817324E-3
1.020431771E1,8.323032409E-3,-4.886918236E-3,1.076649129E-2
1.025241500E1,9.162971750E-3,-1.527161989E-2,9.392046370E-3
1.030051230E1,7.177661173E-3,-1.527161949E-4,1.679878100E-3
1.034860959E1,-7.024944760E-3,-1.374445739E-3,6.490438245E-3
1.039670698E1,-7.635809947E-3,5.345067009E-3,-1.649334840E-2
1.044480427E1,1.756236190E-3,1.992946304E-2,-1.214093715E-2
1.049290157E1,-1.076649129E-2,6.108647794E-4,-2.229656465E-2
1.054099886E1,1.481347065E-2,6.948587019E-3,-8.704823442E-3
1.058909625E1,5.497782957E-3,-1.473711245E-2,-4.352411721E-3
1.063719354E1,5.879573524E-3,8.170315996E-3,1.450803829E-3
1.068529084E1,-2.336557768E-2,1.275180187E-2,-1.183550525E-2
1.073338813E1,-2.489273995E-2,2.985601686E-2,-1.855501719E-2
1.078148552E1,-6.948587019E-3,-1.893680729E-2,-1.168278884E-2
1.082958282E1,4.077522457E-2,-2.443459071E-2,-3.283398226E-3
1.087768011E1,2.741255611E-2,-1.466075517E-2,-5.650499370E-3
1.092577740E1,-4.199695308E-3,-1.779143699E-2,1.298087649E-3
1.097387469E1,-3.588830680E-2,-4.749473557E-2,4.573849961E-2
1.102197209E1,-5.459604040E-2,-4.993819445E-2,4.833467677E-2
1.107006938E1,-5.115992390E-3,1.756236330E-2,1.412624773E-2
1.111816667E1,-2.977965865E-3,2.367100911E-3,-4.734201822E-3
1.116626396E1,2.390008420E-2,-2.443459071E-2,7.635809743E-5
1.121436136E1,9.315688163E-3,-1.015562657E-2,-1.046105940E-2
1.126245865E1,-1.336266659E-2,6.872228696E-4,-2.458730713E-2
1.131055594E1,2.596175298E-3,-6.872228696E-4,2.061668551E-3
1.135865323E1,-8.933897130E-3,-2.603811212E-2,2.519817324E-3
1.140675052E1,3.191768378E-2,1.718057133E-2,-3.665188793E-3
1.145484792E1,-2.901607659E-3,9.544761851E-3,-4.352411721E-3
1.150294521E1,-2.901607659E-3,-2.619082667E-2,5.726857111E-3
1.155104250E1,-3.436114406E-3,-3.291033953E-2,4.123337101E-3
1.159913980E1,-2.802342176E-2,5.421424750E-3,-6.032289471E-3
1.164723719E1,-1.137735695E-2,3.756818548E-2,-1.649334840E-2
1.169533448E1,9.392046370E-3,1.069013379E-3,-2.061668551E-3
1.174343177E1,2.275471389E-2,-1.641699113E-2,1.091920771E-2
1.179152907E1,2.283107117E-2,9.773836471E-3,6.185005885E-3
1.183962646E1,-2.672533505E-3,1.030834299E-2,1.550069358E-2
1.188772375E1,-9.468403645E-3,-5.115992390E-3,1.450803876E-2
1.193582104E1,-3.283398226E-3,-2.176205814E-2,1.053741761E-2
1.198391834E1,-1.374445739E-3,-2.359465137E-2,1.221729536E-2
1.203201563E1,-1.557705179E-2,-4.581485991E-4,8.781181648E-3
1.208011302E1,-1.718057133E-2,1.412624773E-2,2.084576152E-2
1.212821032E1,-1.908952370E-2,-2.977965865E-3,2.725984156E-2
1.217630761E1,-9.621120058E-3,-1.870773360E-2,2.863428742E-2
1.222440490E1,-4.428769462E-3,-2.328922041E-2,2.390008420E-2
1.227250230E1,4.581485991E-4,-4.581485991E-4,9.086613543E-3
1.232059959E1,-1.061377581E-2,-1.450803876E-2,1.351538301E-2
1.236869688E1,-2.061668551E-3,-6.185005885E-3,6.948587019E-3
1.241679417E1,-1.221729559E-3,3.283398226E-3,-4.581485991E-4
1.246489157E1,-7.635809743E-5,-6.108647678E-3,-4.886918236E-3
1.251298886E1,-5.345067009E-3,-7.712167688E-3,-2.519817324E-3
1.256108615E1,-1.565340906E-2,5.497782957E-3,-4.505127668E-3
1.260918344E1,-8.628465235E-3,1.916588284E-2,-1.397353224E-2
1.265728073E1,1.771507785E-2,-5.345066893E-4,5.803215317E-3
1.270537813E1,2.031125315E-2,-1.015562657E-2,7.101302966E-3
1.275347542E1,-1.473711245E-2,2.031125315E-2,2.817613818E-2
1.280157271E1,-4.115701467E-2,-6.872228696E-4,2.703076601E-2
1.284967000E1,2.405280061E-2,3.741546767E-3,-1.649334840E-2
1.289776740E1,3.665188700E-2,-3.756818548E-2,-2.214384824E-2
1.294586469E1,1.664606482E-2,-3.817904799E-4,-2.466366626E-2
1.299396198E1,-1.931859925E-2,2.031125315E-2,1.298087649E-3
1.304205927E1,-2.886336111E-2,-2.252563834E-2,2.787070535E-2
1.309015667E1,3.054323979E-2,-4.046979360E-3,7.024944760E-3
1.313825396E1,1.702785492E-2,-1.107192412E-2,4.581485875E-3
1.318635125E1,-2.306014486E-2,-9.697478265E-3,1.855501719E-2
1.323444855E1,-2.138026757E-3,1.893680729E-2,1.183550525E-2
1.328254584E1,-2.542724647E-2,-8.628465235E-3,2.260199748E-2
1.333064323E1,2.596175298E-3,7.635809947E-3,7.330377586E-3
1.337874052E1,1.794415340E-2,-8.323032409E-3,-4.199695308E-3
1.342683782E1,7.330377586E-3,-1.404988952E-2,7.406735327E-3
1.347493521E1,-1.939495653E-2,-2.733619884E-2,9.773836471E-3
1.352303250E1,-7.788525894E-3,7.788525894E-3,-1.496618707E-2
1.357112980E1,5.497782957E-3,1.229365356E-2,-3.008509055E-2
1.361922709E1,-5.115992390E-3,-2.115119249E-2,-1.145371422E-2
1.366732448E1,1.557705179E-2,-2.443459118E-3,-8.552107029E-3
1.371542177E1,1.832594350E-2,4.810560029E-3,-4.123337101E-3
1.376351907E1,8.399390499E-4,-6.795870606E-3,1.763872057E-2
1.381161636E1,-1.267544460E-2,-2.054032870E-2,3.642281145E-2
1.385971375E1,-6.490438245E-3,2.596175298E-3,1.580612548E-2
1.390781104E1,-7.788525894E-3,3.283398226E-3,3.054323839E-3
1.395590834E1,-7.483093534E-3,-8.399390616E-3,-1.237001177E-2
1.400400573E1,4.505127668E-3,1.450803829E-3,-1.649334840E-2
1.405210302E1,7.635809598E-4,1.733328775E-2,-1.893680729E-2
1.410020032E1,-1.237001177E-2,-8.628465235E-3,2.901607659E-3
1.414829771E1,5.345067009E-3,3.970621154E-3,2.825249685E-3
1.419639500E1,-1.007926930E-2,-1.832594397E-3,1.076649129E-2
1.424449230E1,-5.879573524E-3,5.115992390E-3,-4.352411721E-3
1.429258969E1,5.574141163E-3,-4.276053514E-3,-1.427896414E-2
1.434068698E1,2.115119249E-2,-1.145371422E-2,-1.809686981E-2
1.438878438E1,2.054032870E-2,-6.261364091E-3,-1.832594350E-2
1.443688167E1,-1.481347065E-2,5.803215317E-3,-6.185005885E-3
