"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.123285344E1,7.896314561E-2,5.833701611E0,7.863413334E0
1.128285344E1,-1.728814393E-1,5.757729530E0,7.966903210E0
1.133285344E1,-1.728814393E-1,5.757729530E0,7.966903210E0
1.138285344E1,1.914258115E-2,5.743372440E0,8.057231903E0
1.143285344E1,-3.349951655E-2,5.791228771E0,7.831708431E0
1.148285344E1,-3.349951655E-2,5.791228771E0,7.831708431E0
1.153285344E1,-1.794616925E-3,5.801398277E0,7.977670670E0
1.158285344E1,1.016949639E-1,5.788836002E0,7.783253670E0
1.163285344E1,2.991028363E-3,5.748157978E0,7.981259823E0
1.168285344E1,-1.393819153E-1,5.797809124E0,8.151150703E0
1.173285344E1,-1.393819153E-1,5.797809124E0,8.151150703E0
1.178285344E1,-5.682953820E-2,5.767300606E0,7.940581799E0
1.183285344E1,-5.682953820E-2,5.767300606E0,7.940581799E0
1.188285344E1,0.000000000E0,5.822933674E0,7.941180229E0
1.193285344E1,-2.811566554E-2,5.780461311E0,7.995018482E0
1.198285344E1,-2.811566554E-2,5.780461311E0,7.995018482E0
1.203285344E1,1.016949583E-2,5.813362598E0,7.859225750E0
1.208285344E1,-2.392822690E-2,5.810969830E0,7.943572998E0
1.213285344E1,-7.537391037E-2,5.792425632E0,8.053643227E0
1.218285344E1,5.264209956E-2,5.747560024E0,8.060821533E0
1.223285344E1,5.264209956E-2,5.747560024E0,8.060821533E0
1.228285344E1,-3.708875179E-2,5.717051506E0,7.987840176E0
1.233285344E1,1.196411345E-2,5.783452511E0,8.050053596E0
1.238285344E1,1.040877849E-1,5.734997749E0,7.945367813E0
1.243285344E1,6.939185411E-2,5.792425632E0,8.026124954E0
1.248285344E1,6.939185411E-2,5.792425632E0,8.026124954E0
1.253285344E1,6.699903309E-2,5.754738331E0,7.971688747E0
1.258285344E1,9.272187948E-2,5.772086620E0,8.005785942E0
1.263285344E1,-3.888336942E-2,5.698507309E0,8.155337334E0
1.268285344E1,-1.375873014E-2,5.833103180E0,8.026723862E0
1.273285344E1,-3.768695518E-2,5.833701611E0,7.813164234E0
1.278285344E1,2.093719877E-2,5.717051506E0,7.864609718E0
1.283285344E1,2.177468538E-1,5.667400360E0,8.255238533E0
1.288285344E1,5.264209956E-2,5.694319725E0,8.171489716E0
1.293285344E1,7.417750359E-2,5.770890236E0,7.850253105E0
1.298285344E1,-4.486542568E-2,5.894120216E0,7.836493969E0
1.303285344E1,-6.640082598E-2,5.834897995E0,8.041080475E0
1.308285344E1,8.075776696E-2,5.697310925E0,8.173283577E0
1.313285344E1,3.948157281E-2,5.743372440E0,7.946564198E0
1.318285344E1,5.324030295E-2,5.839683533E0,7.883154392E0
1.323285344E1,9.571290575E-3,5.757729530E0,7.968099594E0
1.328285344E1,5.024927482E-2,5.770890236E0,7.967501163E0
1.333285344E1,1.333998591E-1,5.691926956E0,8.148757935E0
1.338285344E1,3.230310604E-2,5.737988472E0,8.091927528E0
1.343285344E1,-1.734796353E-2,5.815755367E0,7.974679470E0
1.348285344E1,-1.734796353E-2,5.815755367E0,7.974679470E0
1.353285344E1,1.328016520E-1,5.674578667E0,8.109275818E0
1.358285344E1,1.328016520E-1,5.674578667E0,8.109275818E0
1.363285344E1,5.204389244E-2,5.792425632E0,8.038687706E0
1.368285344E1,1.316052489E-2,5.746363640E0,8.041080475E0
1.373285344E1,1.316052489E-2,5.746363640E0,8.041080475E0
1.378285344E1,-3.828516230E-2,5.840879917E0,7.962117195E0
1.383285344E1,-3.828516230E-2,5.840879917E0,7.962117195E0
1.388285344E1,1.716850251E-1,5.703890800E0,7.982456207E0
1.393285344E1,2.434697002E-1,5.758925915E0,7.973483086E0
1.398285344E1,2.434697002E-1,5.758925915E0,7.973483086E0
1.403285344E1,1.208375469E-1,5.749952793E0,7.940581799E0
1.408285344E1,1.208375469E-1,5.749952793E0,7.940581799E0
1.413285344E1,6.819544733E-2,5.790032387E0,8.065009117E0
1.418285344E1,4.486542568E-2,5.751747608E0,7.941180229E0
1.423285344E1,4.486542568E-2,5.751747608E0,7.941180229E0
1.428285344E1,1.286142170E-1,5.708078384E0,8.059026718E0
1.433285344E1,1.286142170E-1,5.708078384E0,8.059026718E0
1.438285344E1,7.716853172E-2,5.771488190E0,7.929215908E0
1.443285344E1,8.195417374E-2,5.828317642E0,7.806583881E0
1.448285344E1,8.195417374E-2,5.828317642E0,7.806583881E0
1.453285344E1,8.195417374E-2,5.828317642E0,7.806583881E0
1.458285344E1,8.195417374E-2,5.828317642E0,7.806583881E0
1.463285344E1,9.092725813E-2,5.776872158E0,7.837690353E0
1.468285344E1,1.298106313E-1,5.740979671E0,7.942376614E0
1.473285344E1,6.460621208E-2,5.733202934E0,8.228917122E0
1.478285344E1,1.058823988E-1,5.691328526E0,8.091927528E0
1.483285344E1,1.058823988E-1,5.691328526E0,8.091927528E0
1.488285344E1,6.879365444E-2,5.803193092E0,7.935198307E0
1.493285344E1,1.357926875E-1,5.731408596E0,8.049455643E0
1.498285344E1,1.357926875E-1,5.731408596E0,8.049455643E0
1.503285344E1,1.519442350E-1,5.849255085E0,7.938189030E0
1.508285344E1,7.298108935E-2,5.664409637E0,7.932207108E0
1.513285344E1,8.374879509E-2,5.605785370E0,8.096115112E0
1.518285344E1,8.374879509E-2,5.605785370E0,8.096115112E0
1.523285344E1,8.374879509E-2,5.605785370E0,8.096115112E0
1.528285344E1,1.328016520E-1,5.623731613E0,8.002795219E0
1.533285344E1,1.328016520E-1,5.623731613E0,8.002795219E0
1.538285344E1,1.130608693E-1,5.802595139E0,8.109873772E0
1.543285344E1,1.130608693E-1,5.802595139E0,8.109873772E0
1.548285344E1,1.130608693E-1,5.802595139E0,8.109873772E0
1.553285344E1,1.028913707E-1,5.755934715E0,8.278568268E0
1.558285344E1,1.028913707E-1,5.755934715E0,8.278568268E0
1.563285344E1,7.657032460E-2,5.749952793E0,7.870592117E0
1.568285344E1,8.733802289E-2,5.802595139E0,7.890930653E0
1.573285344E1,8.733802289E-2,5.802595139E0,7.890930653E0
1.578285344E1,1.932204217E-1,5.653043270E0,8.044071198E0
1.583285344E1,1.932204217E-1,5.653043270E0,8.044071198E0
1.588285344E1,1.495514214E-1,5.822933674E0,8.029714584E0
1.593285344E1,1.854437590E-1,5.746363640E0,7.799405575E0
1.598285344E1,1.854437590E-1,5.746363640E0,7.799405575E0
1.603285344E1,1.854437590E-1,5.746363640E0,7.799405575E0
1.608285344E1,1.854437590E-1,5.746363640E0,7.799405575E0
1.613285344E1,6.520441920E-2,5.785246849E0,7.927421570E0
1.618285344E1,3.122633696E-1,5.759523869E0,7.970492363E0
1.618285344E1,3.122633696E-1,5.759523869E0,7.970492363E0
1.628285344E1,1.208375469E-1,5.708078384E0,8.245068550E0
1.633285344E1,6.400800496E-2,5.839085579E0,7.990831375E0
1.638285344E1,7.357929647E-2,5.761318684E0,7.867600918E0
1.643285344E1,7.357929647E-2,5.761318684E0,7.867600918E0
1.648285344E1,3.026920557E-1,5.715256691E0,8.029116631E0
1.653285344E1,3.098705411E-1,5.583053589E0,8.159524918E0
1.658285344E1,1.710868180E-1,5.751747608E0,8.043473244E0
1.663285344E1,1.082752272E-1,5.774479389E0,8.090133667E0
1.668285344E1,3.170489892E-2,5.763711452E0,7.933403492E0
1.673285344E1,-3.290131316E-2,5.876772404E0,7.942974567E0
1.678285344E1,3.469592705E-2,5.885147095E0,7.893921852E0
1.683285344E1,2.255235314E-1,5.673980713E0,7.974679470E0
